State,Year,Day,num_fatalities_heatmap,Time,,
ACT,1989,Monday,1,15,,
ACT,1989,Monday,1,21,,
ACT,1989,Tuesday,2,11,,
ACT,1989,Wednesday,1,17,,
ACT,1989,Wednesday,1,18,,
ACT,1989,Wednesday,1,23,,
ACT,1989,Thursday,1,0,,
ACT,1989,Thursday,4,1,,
ACT,1989,Thursday,2,5,,
ACT,1989,Thursday,1,21,,
ACT,1989,Thursday,1,22,,
ACT,1989,Thursday,1,23,,
ACT,1989,Friday,1,0,,
ACT,1989,Friday,1,19,,
ACT,1989,Friday,1,20,,
ACT,1989,Friday,2,21,,
ACT,1989,Saturday,1,1,,
ACT,1989,Saturday,1,5,,
ACT,1989,Saturday,1,15,,
ACT,1989,Saturday,1,18,,
ACT,1989,Saturday,1,21,,
ACT,1989,Sunday,1,0,,
ACT,1989,Sunday,1,1,,
ACT,1989,Sunday,2,17,,
ACT,1989,Sunday,1,22,,
ACT,1990,Monday,1,6,,
ACT,1990,Monday,2,10,,
ACT,1990,Monday,1,15,,
ACT,1990,Monday,1,17,,
ACT,1990,Monday,1,22,,
ACT,1990,Tuesday,2,7,,
ACT,1990,Tuesday,1,19,,
ACT,1990,Tuesday,1,20,,
ACT,1990,Wednesday,1,14,,
ACT,1990,Wednesday,1,18,,
ACT,1990,Wednesday,1,19,,
ACT,1990,Wednesday,1,23,,
ACT,1990,Thursday,1,2,,
ACT,1990,Friday,1,3,,
ACT,1990,Friday,1,16,,
ACT,1990,Friday,1,17,,
ACT,1990,Saturday,1,2,,
ACT,1990,Saturday,1,14,,
ACT,1990,Saturday,1,20,,
ACT,1990,Saturday,1,21,,
ACT,1990,Sunday,1,10,,
ACT,1990,Sunday,1,15,,
ACT,1990,Sunday,1,16,,
ACT,1990,Sunday,1,21,,
ACT,1991,Monday,1,8,,
ACT,1991,Monday,1,17,,
ACT,1991,Monday,1,18,,
ACT,1991,Tuesday,1,1,,
ACT,1991,Tuesday,1,16,,
ACT,1991,Tuesday,1,19,,
ACT,1991,Tuesday,1,21,,
ACT,1991,Wednesday,1,17,,
ACT,1991,Friday,1,1,,
ACT,1991,Friday,1,13,,
ACT,1991,Friday,1,16,,
ACT,1991,Saturday,1,6,,
ACT,1991,Saturday,1,15,,
ACT,1991,Sunday,1,2,,
ACT,1991,Sunday,2,12,,
ACT,1991,Sunday,1,16,,
ACT,1992,Monday,1,11,,
ACT,1992,Tuesday,1,0,,
ACT,1992,Wednesday,1,11,,
ACT,1992,Thursday,1,2,,
ACT,1992,Thursday,1,18,,
ACT,1992,Friday,1,14,,
ACT,1992,Friday,1,18,,
ACT,1992,Friday,1,19,,
ACT,1992,Saturday,2,5,,
ACT,1992,Saturday,1,15,,
ACT,1992,Saturday,3,16,,
ACT,1992,Saturday,2,18,,
ACT,1992,Sunday,1,3,,
ACT,1992,Sunday,1,15,,
ACT,1992,Sunday,1,16,,
ACT,1992,Sunday,1,17,,
ACT,1993,Thursday,1,5,,
ACT,1993,Thursday,1,20,,
ACT,1993,Thursday,1,23,,
