State,Day,Year,num_fatalities_day
ACT,Monday,1989,2
ACT,Monday,1990,6
ACT,Monday,1991,3
ACT,Monday,1992,1
ACT,Monday,1994,1
ACT,Monday,1996,5
ACT,Monday,1997,1
ACT,Monday,1998,3
ACT,Monday,1999,3
ACT,Monday,2000,3
ACT,Monday,2001,2
ACT,Monday,2002,1
ACT,Monday,2003,3
ACT,Monday,2004,1
ACT,Monday,2005,1
ACT,Monday,2006,1
ACT,Monday,2007,1
ACT,Monday,2008,3
ACT,Monday,2009,1
ACT,Monday,2011,1
ACT,Monday,2014,2
ACT,Monday,2015,1
ACT,Monday,2016,1
ACT,Monday,2017,1
ACT,Monday,2018,1
ACT,Monday,2019,2
ACT,Monday,2020,1
ACT,Monday,2021,3
ACT,Monday,2022,2
ACT,Tuesday,1989,2
ACT,Tuesday,1990,4
ACT,Tuesday,1991,4
ACT,Tuesday,1992,1
ACT,Tuesday,1994,2
ACT,Tuesday,1995,1
ACT,Tuesday,1996,1
ACT,Tuesday,1998,3
ACT,Tuesday,1999,2
ACT,Tuesday,2000,1
ACT,Tuesday,2001,2
ACT,Tuesday,2003,2
ACT,Tuesday,2005,4
ACT,Tuesday,2006,2
ACT,Tuesday,2007,3
ACT,Tuesday,2008,1
ACT,Tuesday,2009,2
ACT,Tuesday,2010,3
ACT,Tuesday,2011,1
ACT,Tuesday,2012,2
ACT,Tuesday,2013,1
ACT,Tuesday,2014,1
ACT,Tuesday,2015,1
ACT,Tuesday,2018,1
ACT,Tuesday,2019,1
ACT,Tuesday,2020,1
ACT,Tuesday,2021,2
ACT,Wednesday,1989,3
ACT,Wednesday,1990,4
ACT,Wednesday,1991,1
ACT,Wednesday,1992,1
ACT,Wednesday,1994,2
ACT,Wednesday,1995,1
ACT,Wednesday,1996,5
ACT,Wednesday,1997,5
ACT,Wednesday,1998,1
ACT,Wednesday,1999,6
ACT,Wednesday,2001,2
ACT,Wednesday,2002,1
ACT,Wednesday,2003,1
ACT,Wednesday,2004,2
ACT,Wednesday,2005,3
ACT,Wednesday,2006,2
ACT,Wednesday,2008,2
ACT,Wednesday,2010,1
ACT,Wednesday,2013,2
ACT,Wednesday,2014,3
ACT,Wednesday,2015,3
ACT,Wednesday,2016,3
ACT,Wednesday,2017,2
ACT,Wednesday,2019,1
ACT,Wednesday,2021,2
ACT,Wednesday,2022,1
ACT,Thursday,1989,10
ACT,Thursday,1990,1
ACT,Thursday,1992,2
ACT,Thursday,1993,3
ACT,Thursday,1994,2
ACT,Thursday,1995,4
ACT,Thursday,1996,4
ACT,Thursday,1997,1
ACT,Thursday,1998,4
ACT,Thursday,1999,2
ACT,Thursday,2000,4
ACT,Thursday,2001,2
ACT,Thursday,2002,2
ACT,Thursday,2003,1
ACT,Thursday,2005,2
ACT,Thursday,2006,2
ACT,Thursday,2007,2
ACT,Thursday,2008,3
ACT,Thursday,2009,1
ACT,Thursday,2010,1
ACT,Thursday,2011,1
ACT,Thursday,2012,4
ACT,Thursday,2015,5
ACT,Thursday,2016,1
ACT,Thursday,2017,1
ACT,Thursday,2018,1
ACT,Thursday,2021,2
ACT,Thursday,2022,1
ACT,Friday,1989,5
ACT,Friday,1990,3
ACT,Friday,1991,3
ACT,Friday,1992,3
ACT,Friday,1993,3
ACT,Friday,1994,3
ACT,Friday,1995,3
ACT,Friday,1996,1
ACT,Friday,1997,2
ACT,Friday,1998,4
ACT,Friday,1999,1
ACT,Friday,2000,2
ACT,Friday,2001,5
ACT,Friday,2002,2
ACT,Friday,2003,1
ACT,Friday,2004,1
ACT,Friday,2005,5
ACT,Friday,2006,3
ACT,Friday,2007,4
ACT,Friday,2008,2
ACT,Friday,2009,2
ACT,Friday,2010,3
ACT,Friday,2012,2
ACT,Friday,2013,2
ACT,Friday,2015,2
ACT,Friday,2016,1
ACT,Friday,2017,1
ACT,Friday,2018,2
ACT,Friday,2019,1
ACT,Friday,2021,1
ACT,Friday,2022,2
ACT,Saturday,1989,5
ACT,Saturday,1990,4
ACT,Saturday,1991,2
ACT,Saturday,1992,8
ACT,Saturday,1993,4
ACT,Saturday,1994,4
ACT,Saturday,1995,5
ACT,Saturday,1996,1
ACT,Saturday,1997,7
ACT,Saturday,1998,2
ACT,Saturday,1999,4
ACT,Saturday,2000,5
ACT,Saturday,2001,2
ACT,Saturday,2002,3
ACT,Saturday,2003,2
ACT,Saturday,2004,3
ACT,Saturday,2005,3
ACT,Saturday,2006,1
ACT,Saturday,2008,2
ACT,Saturday,2009,1
ACT,Saturday,2010,9
ACT,Saturday,2011,3
ACT,Saturday,2012,3
ACT,Saturday,2013,1
ACT,Saturday,2014,3
ACT,Saturday,2015,2
ACT,Saturday,2016,2
ACT,Saturday,2018,3
ACT,Saturday,2019,1
ACT,Saturday,2020,3
ACT,Saturday,2022,3
ACT,Sunday,1989,5
ACT,Sunday,1990,4
ACT,Sunday,1991,4
ACT,Sunday,1992,4
ACT,Sunday,1993,2
ACT,Sunday,1994,3
ACT,Sunday,1995,1
ACT,Sunday,1996,6
ACT,Sunday,1997,1
ACT,Sunday,1998,5
ACT,Sunday,1999,1
ACT,Sunday,2000,3
ACT,Sunday,2001,1
ACT,Sunday,2002,1
ACT,Sunday,2003,1
ACT,Sunday,2004,2
ACT,Sunday,2005,8
ACT,Sunday,2006,2
ACT,Sunday,2007,4
ACT,Sunday,2008,1
ACT,Sunday,2009,5
ACT,Sunday,2010,2
ACT,Sunday,2012,1
ACT,Sunday,2013,1
ACT,Sunday,2014,1
ACT,Sunday,2015,1
ACT,Sunday,2016,2
ACT,Sunday,2018,1
ACT,Sunday,2020,2
ACT,Sunday,2021,1
ACT,Sunday,2022,2
NSW,Monday,1989,128
NSW,Monday,1990,102
NSW,Monday,1991,59
NSW,Monday,1992,81
NSW,Monday,1993,62
NSW,Monday,1994,70
NSW,Monday,1995,77
NSW,Monday,1996,73
NSW,Monday,1997,56
NSW,Monday,1998,72
NSW,Monday,1999,66
NSW,Monday,2000,57
NSW,Monday,2001,60
NSW,Monday,2002,68
NSW,Monday,2003,63
NSW,Monday,2004,71
NSW,Monday,2005,79
NSW,Monday,2006,61
NSW,Monday,2007,53
NSW,Monday,2008,50
NSW,Monday,2009,49
NSW,Monday,2010,45
NSW,Monday,2011,44
NSW,Monday,2012,44
NSW,Monday,2013,42
NSW,Monday,2014,40
NSW,Monday,2015,44
NSW,Monday,2016,45
NSW,Monday,2017,49
NSW,Monday,2018,50
NSW,Monday,2019,36
NSW,Monday,2020,35
NSW,Monday,2021,29
NSW,Monday,2022,21
NSW,Tuesday,1989,93
NSW,Tuesday,1990,75
NSW,Tuesday,1991,68
NSW,Tuesday,1992,78
NSW,Tuesday,1993,76
NSW,Tuesday,1994,68
NSW,Tuesday,1995,58
