State,Year,rounded_time,num_fatalities_time
ACT,1989,12:00:00 AM,3
ACT,1989,1:00:00 AM,6
ACT,1989,5:00:00 AM,3
ACT,1989,11:00:00 AM,2
ACT,1989,3:00:00 PM,2
ACT,1989,5:00:00 PM,3
ACT,1989,6:00:00 PM,2
ACT,1989,7:00:00 PM,1
ACT,1989,8:00:00 PM,1
ACT,1989,9:00:00 PM,5
ACT,1989,10:00:00 PM,2
ACT,1989,11:00:00 PM,2
ACT,1990,2:00:00 AM,2
ACT,1990,3:00:00 AM,1
ACT,1990,6:00:00 AM,1
ACT,1990,7:00:00 AM,2
ACT,1990,10:00:00 AM,3
ACT,1990,2:00:00 PM,2
ACT,1990,3:00:00 PM,2
ACT,1990,4:00:00 PM,2
ACT,1990,5:00:00 PM,2
ACT,1990,6:00:00 PM,1
ACT,1990,7:00:00 PM,2
ACT,1990,8:00:00 PM,2
ACT,1990,9:00:00 PM,2
ACT,1990,10:00:00 PM,1
ACT,1990,11:00:00 PM,1
ACT,1991,1:00:00 AM,2
ACT,1991,2:00:00 AM,1
ACT,1991,6:00:00 AM,1
ACT,1991,8:00:00 AM,1
ACT,1991,12:00:00 PM,2
ACT,1991,1:00:00 PM,1
ACT,1991,3:00:00 PM,1
ACT,1991,4:00:00 PM,3
ACT,1991,5:00:00 PM,2
ACT,1991,6:00:00 PM,1
ACT,1991,7:00:00 PM,1
ACT,1991,9:00:00 PM,1
ACT,1992,12:00:00 AM,1
ACT,1992,2:00:00 AM,1
ACT,1992,3:00:00 AM,1
ACT,1992,5:00:00 AM,2
ACT,1992,11:00:00 AM,2
ACT,1992,2:00:00 PM,1
ACT,1992,3:00:00 PM,2
ACT,1992,4:00:00 PM,4
ACT,1992,5:00:00 PM,1
ACT,1992,6:00:00 PM,4
ACT,1992,7:00:00 PM,1
ACT,1993,12:00:00 AM,3
ACT,1993,5:00:00 AM,1
ACT,1993,7:00:00 AM,1
ACT,1993,10:00:00 AM,1
ACT,1993,5:00:00 PM,1
ACT,1993,8:00:00 PM,1
ACT,1993,11:00:00 PM,4
ACT,1994,1:00:00 AM,3
ACT,1994,6:00:00 AM,1
ACT,1994,8:00:00 AM,1
ACT,1994,2:00:00 PM,1
ACT,1994,3:00:00 PM,1
ACT,1994,4:00:00 PM,1
ACT,1994,5:00:00 PM,3
ACT,1994,6:00:00 PM,2
ACT,1994,8:00:00 PM,2
ACT,1994,9:00:00 PM,1
ACT,1994,10:00:00 PM,1
ACT,1995,2:00:00 AM,1
ACT,1995,6:00:00 AM,2
ACT,1995,10:00:00 AM,1
ACT,1995,11:00:00 AM,2
ACT,1995,4:00:00 PM,1
ACT,1995,6:00:00 PM,1
ACT,1995,8:00:00 PM,1
ACT,1995,9:00:00 PM,1
ACT,1996,12:00:00 AM,2
ACT,1996,7:00:00 AM,2
ACT,1996,8:00:00 AM,1
ACT,1996,11:00:00 AM,3
ACT,1996,1:00:00 PM,3
ACT,1996,2:00:00 PM,1
ACT,1996,5:00:00 PM,2
ACT,1996,6:00:00 PM,2
ACT,1996,7:00:00 PM,1
ACT,1996,8:00:00 PM,1
ACT,1996,9:00:00 PM,1
ACT,1996,10:00:00 PM,4
ACT,1997,3:00:00 AM,1
ACT,1997,4:00:00 AM,2
ACT,1997,7:00:00 AM,1
ACT,1997,8:00:00 AM,1
ACT,1997,10:00:00 AM,1
ACT,1997,11:00:00 AM,1
ACT,1997,1:00:00 PM,1
ACT,1997,4:00:00 PM,1
ACT,1997,5:00:00 PM,2
ACT,1997,6:00:00 PM,3
ACT,1997,9:00:00 PM,3
ACT,1998,12:00:00 AM,1
ACT,1998,2:00:00 AM,1
ACT,1998,3:00:00 AM,3
ACT,1998,7:00:00 AM,1
ACT,1998,8:00:00 AM,3
ACT,1998,9:00:00 AM,1
ACT,1998,11:00:00 AM,1
ACT,1998,12:00:00 PM,1
ACT,1998,2:00:00 PM,1
ACT,1998,3:00:00 PM,1
ACT,1998,7:00:00 PM,2
ACT,1998,8:00:00 PM,1
ACT,1998,10:00:00 PM,2
ACT,1998,11:00:00 PM,1
ACT,1999,1:00:00 AM,2
ACT,1999,2:00:00 AM,1
ACT,1999,8:00:00 AM,2
ACT,1999,12:00:00 PM,1
ACT,1999,3:00:00 PM,5
ACT,1999,5:00:00 PM,2
ACT,1999,6:00:00 PM,2
ACT,1999,7:00:00 PM,1
