State,Day,Fatalities
ACT,Monday,57
ACT,Tuesday,51
ACT,Wednesday,60
ACT,Thursday,69
ACT,Friday,75
ACT,Saturday,101
ACT,Sunday,78
NSW,Monday,1981
NSW,Tuesday,1940
NSW,Wednesday,2153
NSW,Thursday,2248
NSW,Friday,2709
NSW,Saturday,2910
NSW,Sunday,2610
NT,Monday,172
NT,Tuesday,164
NT,Wednesday,199
NT,Thursday,221
NT,Friday,350
NT,Saturday,365
NT,Sunday,216
QLD,Monday,1240
QLD,Tuesday,1262
QLD,Wednesday,1355
QLD,Thursday,1384
QLD,Friday,1782
QLD,Saturday,2011
QLD,Sunday,1736
SA,Monday,526
SA,Tuesday,538
SA,Wednesday,587
SA,Thursday,592
SA,Friday,720
SA,Saturday,903
SA,Sunday,756
TAS,Monday,153
TAS,Tuesday,172
TAS,Wednesday,194
TAS,Thursday,254
TAS,Friday,270
TAS,Saturday,290
TAS,Sunday,264
VIC,Monday,1425
VIC,Tuesday,1411
VIC,Wednesday,1481
VIC,Thursday,1615
VIC,Friday,1868
VIC,Saturday,2065
VIC,Sunday,1918
WA,Monday,678
WA,Tuesday,743
WA,Wednesday,776
WA,Thursday,878
WA,Friday,1074
WA,Saturday,1216
WA,Sunday,1054
