State,Month,Fatalities
ACT,January,29
ACT,February,37
ACT,March,37
ACT,April,47
ACT,May,44
ACT,June,43
ACT,July,40
ACT,August,35
ACT,September,57
ACT,October,39
ACT,November,31
ACT,December,52
NSW,January,1353
NSW,February,1281
NSW,March,1474
NSW,April,1377
NSW,May,1378
NSW,June,1366
NSW,July,1327
NSW,August,1418
NSW,September,1303
NSW,October,1423
NSW,November,1377
NSW,December,1474
NT,January,102
NT,February,121
NT,March,96
NT,April,138
NT,May,143
NT,June,152
NT,July,162
NT,August,217
NT,September,122
NT,October,137
NT,November,121
NT,December,176
QLD,January,801
QLD,February,735
QLD,March,862
QLD,April,812
QLD,May,925
QLD,June,917
QLD,July,974
QLD,August,998
QLD,September,940
QLD,October,952
QLD,November,922
QLD,December,932
SA,January,405
SA,February,338
SA,March,446
SA,April,408
SA,May,373
SA,June,380
SA,July,350
SA,August,372
SA,September,362
SA,October,404
SA,November,382
SA,December,402
TAS,January,168
TAS,February,135
TAS,March,164
TAS,April,149
TAS,May,142
TAS,June,130
TAS,July,111
TAS,August,112
TAS,September,111
TAS,October,110
TAS,November,127
TAS,December,138
VIC,January,1016
VIC,February,985
VIC,March,1136
VIC,April,952
VIC,May,1040
VIC,June,937
VIC,July,930
VIC,August,897
VIC,September,899
VIC,October,963
VIC,November,968
VIC,December,1060
WA,January,553
WA,February,452
WA,March,549
WA,April,519
WA,May,505
WA,June,508
WA,July,508
WA,August,553
WA,September,544
WA,October,584
WA,November,555
WA,December,589
