State,Time,Fatalities
ACT,12:00:00 AM,25
ACT,1:00:00 AM,20
ACT,2:00:00 AM,18
ACT,3:00:00 AM,13
ACT,4:00:00 AM,9
ACT,5:00:00 AM,8
ACT,6:00:00 AM,15
ACT,7:00:00 AM,11
ACT,8:00:00 AM,15
ACT,9:00:00 AM,16
ACT,10:00:00 AM,15
ACT,11:00:00 AM,35
ACT,12:00:00 PM,12
ACT,1:00:00 PM,20
ACT,2:00:00 PM,14
ACT,3:00:00 PM,30
ACT,4:00:00 PM,35
ACT,5:00:00 PM,39
ACT,6:00:00 PM,38
ACT,7:00:00 PM,14
ACT,8:00:00 PM,24
ACT,9:00:00 PM,18
ACT,10:00:00 PM,20
ACT,11:00:00 PM,20
NSW,12:00:00 AM,575
NSW,1:00:00 AM,498
NSW,2:00:00 AM,421
NSW,3:00:00 AM,433
NSW,4:00:00 AM,401
NSW,5:00:00 AM,424
NSW,6:00:00 AM,588
NSW,7:00:00 AM,595
NSW,8:00:00 AM,565
NSW,9:00:00 AM,634
NSW,10:00:00 AM,776
NSW,11:00:00 AM,741
NSW,12:00:00 PM,790
NSW,1:00:00 PM,848
NSW,2:00:00 PM,984
NSW,3:00:00 PM,1134
NSW,4:00:00 PM,1010
NSW,5:00:00 PM,991
NSW,6:00:00 PM,888
NSW,7:00:00 PM,709
NSW,8:00:00 PM,663
NSW,9:00:00 PM,645
NSW,10:00:00 PM,585
NSW,11:00:00 PM,653
NT,12:00:00 AM,59
NT,1:00:00 AM,44
NT,2:00:00 AM,52
NT,3:00:00 AM,48
NT,4:00:00 AM,47
NT,5:00:00 AM,42
NT,6:00:00 AM,46
NT,7:00:00 AM,32
NT,8:00:00 AM,52
NT,9:00:00 AM,60
NT,10:00:00 AM,53
NT,11:00:00 AM,38
NT,12:00:00 PM,69
NT,1:00:00 PM,65
NT,2:00:00 PM,74
NT,3:00:00 PM,95
NT,4:00:00 PM,77
NT,5:00:00 PM,92
NT,6:00:00 PM,113
