State,Year,Fatalities
ACT,1989,32
ACT,1990,26
ACT,1991,17
ACT,1992,20
ACT,1993,12
ACT,1994,17
ACT,1995,15
ACT,1996,23
ACT,1997,17
ACT,1998,22
ACT,1999,19
ACT,2000,18
ACT,2001,16
ACT,2002,10
ACT,2003,11
ACT,2004,9
ACT,2005,26
ACT,2006,13
ACT,2007,14
ACT,2008,14
ACT,2009,12
ACT,2010,19
ACT,2011,6
ACT,2012,12
ACT,2013,7
ACT,2014,10
ACT,2015,15
ACT,2016,10
ACT,2017,5
ACT,2018,9
ACT,2019,6
ACT,2020,7
ACT,2021,11
ACT,2022,11
NSW,1989,959
NSW,1990,797
NSW,1991,663
NSW,1992,649
NSW,1993,581
NSW,1994,646
NSW,1995,620
NSW,1996,581
NSW,1997,576
NSW,1998,556
NSW,1999,577
NSW,2000,603
NSW,2001,524
NSW,2002,561
NSW,2003,539
NSW,2004,510
NSW,2005,508
NSW,2006,496
NSW,2007,435
NSW,2008,374
NSW,2009,454
NSW,2010,405
NSW,2011,364
NSW,2012,369
NSW,2013,333
NSW,2014,307
NSW,2015,350
NSW,2016,380
NSW,2017,389
NSW,2018,347
NSW,2019,353
NSW,2020,284
NSW,2021,273
NSW,2022,188
NT,1989,61
NT,1990,68
NT,1991,67
NT,1992,54
NT,1993,44
NT,1994,41
NT,1995,61
NT,1996,72
NT,1997,60
NT,1998,69
NT,1999,49
NT,2000,51
NT,2001,50
NT,2002,55
NT,2003,53
NT,2004,35
NT,2005,55
NT,2006,45
NT,2007,58
NT,2008,75
NT,2009,31
NT,2010,50
NT,2011,45
NT,2012,49
NT,2013,37
NT,2014,39
NT,2015,49
NT,2016,45
NT,2017,31
NT,2018,50
NT,2019,36
NT,2020,31
NT,2021,35
NT,2022,36
QLD,1989,428
QLD,1990,399
QLD,1991,395
QLD,1992,416
QLD,1993,396
QLD,1994,418
QLD,1995,456
QLD,1996,385
QLD,1997,360
QLD,1998,279
QLD,1999,314
QLD,2000,317
QLD,2001,324
QLD,2002,322
QLD,2003,310
QLD,2004,311
QLD,2005,330
QLD,2006,335
QLD,2007,360
QLD,2008,328
QLD,2009,331
QLD,2010,249
QLD,2011,269
QLD,2012,280
QLD,2013,271
QLD,2014,223
QLD,2015,243
QLD,2016,251
QLD,2017,247
QLD,2018,245
QLD,2019,219
QLD,2020,278
QLD,2021,279
QLD,2022,202
SA,1989,222
SA,1990,226
SA,1991,184
SA,1992,165
SA,1993,218
SA,1994,159
SA,1995,181
SA,1996,181
SA,1997,148
SA,1998,168
SA,1999,151
SA,2000,166
SA,2001,153
SA,2002,154
SA,2003,157
SA,2004,139
SA,2005,148
SA,2006,117
SA,2007,124
SA,2008,99
SA,2009,119
SA,2010,118
SA,2011,103
SA,2012,94
SA,2013,98
SA,2014,108
SA,2015,102
SA,2016,86
SA,2017,100
SA,2018,80
SA,2019,114
SA,2020,93
SA,2021,99
SA,2022,48
TAS,1989,80
TAS,1990,71
TAS,1991,77
TAS,1992,74
TAS,1993,58
TAS,1994,59
TAS,1995,57
TAS,1996,64
TAS,1997,32
TAS,1998,48
TAS,1999,53
TAS,2000,43
TAS,2001,61
TAS,2002,37
TAS,2003,41
TAS,2004,58
TAS,2005,51
TAS,2006,55
TAS,2007,45
TAS,2008,39
TAS,2009,63
TAS,2010,31
TAS,2011,24
TAS,2012,31
TAS,2013,36
TAS,2014,33
TAS,2015,34
TAS,2016,37
TAS,2017,32
TAS,2018,32
TAS,2019,29
TAS,2020,37
TAS,2021,35
TAS,2022,40
VIC,1989,776
VIC,1990,548
VIC,1991,503
VIC,1992,396
VIC,1993,435
VIC,1994,377
VIC,1995,418
VIC,1996,417
VIC,1997,377
VIC,1998,390
VIC,1999,383
VIC,2000,407
VIC,2001,444
VIC,2002,397
VIC,2003,330
VIC,2004,343
VIC,2005,346
VIC,2006,337
VIC,2007,332
VIC,2008,303
VIC,2009,290
VIC,2010,288
VIC,2011,287
VIC,2012,282
VIC,2013,243
VIC,2014,248
VIC,2015,252
VIC,2016,290
VIC,2017,259
VIC,2018,213
VIC,2019,266
VIC,2020,211
VIC,2021,232
VIC,2022,163
WA,1989,242
WA,1990,196
WA,1991,207
WA,1992,200
WA,1993,209
WA,1994,211
WA,1995,209
WA,1996,247
WA,1997,197
WA,1998,223
WA,1999,218
WA,2000,212
WA,2001,165
WA,2002,179
WA,2003,180
WA,2004,178
WA,2005,163
WA,2006,200
WA,2007,235
WA,2008,205
WA,2009,191
WA,2010,193
WA,2011,179
WA,2012,183
WA,2013,162
WA,2014,183
WA,2015,159
WA,2016,193
WA,2017,159
WA,2018,158
WA,2019,163
WA,2020,154
WA,2021,166
WA,2022,100
