State,Year,Month,Fatalities,Day,Date
ACT,1989,Jan,2,1,1989-1-1
ACT,1989,Feb,2,2,1989-2-1
ACT,1989,Mar,3,3,1989-3-1
ACT,1989,Apr,8,4,1989-4-1
ACT,1989,Jun,2,6,1989-6-1
ACT,1989,Jul,1,7,1989-7-1
ACT,1989,Aug,2,8,1989-8-1
ACT,1989,Sep,5,9,1989-9-1
ACT,1989,Oct,2,10,1989-10-1
ACT,1989,Nov,2,11,1989-11-1
ACT,1989,Dec,3,12,1989-12-1
ACT,1990,Jan,2,1,1990-1-1
ACT,1990,May,3,5,1990-5-1
ACT,1990,Jun,1,6,1990-6-1
ACT,1990,Jul,6,7,1990-7-1
ACT,1990,Aug,3,8,1990-8-1
ACT,1990,Sep,1,9,1990-9-1
ACT,1990,Oct,3,10,1990-10-1
ACT,1990,Nov,3,11,1990-11-1
ACT,1990,Dec,4,12,1990-12-1
ACT,1991,Jan,2,1,1991-1-1
ACT,1991,Feb,1,2,1991-2-1
ACT,1991,Mar,1,3,1991-3-1
ACT,1991,Apr,5,4,1991-4-1
ACT,1991,May,1,5,1991-5-1
ACT,1991,Jun,3,6,1991-6-1
ACT,1991,Aug,2,8,1991-8-1
ACT,1991,Sep,1,9,1991-9-1
ACT,1991,Oct,1,10,1991-10-1
ACT,1992,Jan,1,1,1992-1-1
ACT,1992,Feb,2,2,1992-2-1
ACT,1992,Mar,1,3,1992-3-1
ACT,1992,Apr,4,4,1992-4-1
ACT,1992,May,2,5,1992-5-1
ACT,1992,Jun,2,6,1992-6-1
ACT,1992,Jul,2,7,1992-7-1
ACT,1992,Aug,2,8,1992-8-1
ACT,1992,Sep,2,9,1992-9-1
ACT,1992,Oct,1,10,1992-10-1
ACT,1992,Dec,1,12,1992-12-1
ACT,1993,Feb,1,2,1993-2-1
ACT,1993,Mar,1,3,1993-3-1
ACT,1993,Jun,1,6,1993-6-1
ACT,1993,Aug,1,8,1993-8-1
ACT,1993,Sep,2,9,1993-9-1
ACT,1993,Oct,5,10,1993-10-1
ACT,1993,Nov,1,11,1993-11-1
