LGA,Num_Fatalities
Adelaide,8
Adelaide Hills,33
Albany,9
Albury,6
Alexandrina,27
Alice Springs,19
Alpine,9
Anangu Pitjantjatjara,7
Ararat,12
Armadale,31
Armidale Regional,13
Ashburton,8
Augusta-Margaret River,10
Ballarat,27
Ballina,18
Balonne,4
Balranald,6
Banana,8
Banyule,14
Barcaldine,1
Barcoo,2
Barkly,27
Barossa,33
Barunga West,2
Bass Coast,10
Bassendean,2
Bathurst Regional,27
Baw Baw,26
Bayside,27
Bayside,13
Bayswater,11
Bega Valley,18
Bellingen,20
Belmont,7
Benalla,14
Berri and Barmera,5
Berrigan,5
Beverley,5
Blacktown,50
Bland,12
Blayney,5
Blue Mountains,12
Boddington,5
Bogan,8
Boroondara,21
Bourke,2
Boyup Brook,1
Break O'Day,8
Brewarrina,5
Bridgetown-Greenbushes,5
Brighton,11
Brimbank,51
Brisbane,99
Broken Hill,1
Brookton,9
Broome,10
Broomehill-Tambellup,10
Bruce Rock,6
Bulloo,1
Buloke,11
Bunbury,8
Bundaberg,59
Burdekin,13
Burke,1
Burnie,8
Burnside,5
Burwood,5
Busselton,24
Byron,12
Cabonne,18
Cairns,33
Cambridge,6
Camden,15
Campaspe,29
Campbelltown,24
Campbelltown,7
Canada Bay,9
Canning,14
Canterbury-Bankstown,55
Capel,15
Cardinia,55
Carnamah,3
Carnarvon,1
Carnarvon,6
Carpentaria,1
Carrathool,8
Casey,52
Cassowary Coast,19
Ceduna,4
Central Coast,98
Central Coast,10
Central Darling,4
Central Desert,14
Central Goldfields,10
Central Highlands,7
Central Highlands,21
Cessnock,26
Chapman Valley,2
Charles Sturt,27
Charters Towers,16
Chittering,8
Circular Head,9
Clare and Gilbert Valleys,11
Claremont,2
Clarence,17
Clarence Valley,58
Cleve,3
Cloncurry,9
Cobar,5
Cockburn,26
Coffs Harbour,23
Colac-Otway,24
Collie,13
Coober Pedy,1
Cook,12
Coolamon,7
Coolgardie,7
Coomalie,4
Coonamble,2
Cootamundra-Gundagai,17
Copper Coast,5
Corangamite,28
Corrigin,5
Cottesloe,1
Cowra,12
Cranbrook,1
Croydon,1
Cuballing,2
Cue,3
Cumberland,41
Cunderdin,2
Dalwallinu,5
Dandaragan,9
Dardanup,17
Darebin,19
Darwin,32
Denmark,5
Derby - West Ki,1
Derby-West Kimberley,18
Derwent Valley,7
Devonport,6
Donnybrook-Balingup,11
Doomadgee,1
Dorset,2
Douglas,6
Dubbo Regional,45
Dumbleyung,2
Dundas,11
Dungog,5
East Arnhem,10
East Gippsland,44
East Pilbara,1
East Pilbara,10
Edward River,5
Elliston,2
Esperance,1
Esperance,9
Etheridge,3
Eurobodalla,30
Exmouth,2
Fairfield,49
Federation,18
Flinders,1
Flinders Ranges,1
Forbes,10
Franklin Harbour,4
Frankston,25
Fraser Coast,26
Fremantle,10
Gannawarra,9
Gawler,6
George Town,1
Georges River,20
Gilgandra,9
Gingin,17
Gladstone,23
Glamorgan/Spring Bay,2
Glen Eira,13
Glen Innes Severn,14
Glenelg,23
Glenorchy,17
Gnowangerup,7
Gold Coast,74
Golden Plains,23
Goomalling,1
Goondiwindi,6
Gosnells,19
Goulburn Mulwaree,27
Goyder,9
Grant,12
Greater Bendigo,46
Greater Dandenong,34
Greater Geelong,65
Greater Geraldton,25
Greater Hume,22
Greater Shepparton,50
Griffith,10
Gunnedah,7
Gwydir,4
Gympie,47
Halls Creek,10
Harvey,26
Hawkesbury,33
Hay,4
Hepburn,22
Hilltops,23
Hinchinbrook,3
Hindmarsh,4
Hobart,16
Hobsons Bay,15
Holdfast Bay,7
Hope Vale,2
