State,Month,Year,Dayweek,Time,Crash Type,Number Fatalities
WA,8,2022,Sunday,2:00,Single,1
WA,8,2022,Sunday,18:00,Single,1
WA,8,2022,Sunday,8:00,Single,2
WA,8,2022,Saturday,4:00,Single,1
NSW,8,2022,Wednesday,16:00,Single,1
NSW,8,2022,Friday,9:00,Single,1
NSW,8,2022,Tuesday,14:00,Single,1
Vic,8,2022,Tuesday,12:00,Multiple,1
Vic,8,2022,Monday,7:00,Multiple,1
Vic,8,2022,Friday,7:00,Multiple,1
Qld,8,2022,Sunday,23:00,Multiple,1
Qld,8,2022,Wednesday,4:00,Multiple,1
Qld,8,2022,Wednesday,0:00,Single,1
Qld,8,2022,Monday,11:00,Single,1
Qld,8,2022,Friday,11:00,Multiple,2
WA,8,2022,Saturday,14:00,Multiple,1
WA,8,2022,Friday,23:00,Single,1
NSW,8,2022,Sunday,17:00,Single,1
Vic,8,2022,Sunday,20:00,Single,1
Vic,8,2022,Wednesday,16:00,Single,1
Qld,8,2022,Thursday,21:00,Multiple,1
Qld,8,2022,Wednesday,13:00,Multiple,1
Qld,8,2022,Tuesday,17:00,Single,1
Qld,8,2022,Saturday,19:00,Single,1
SA,8,2022,Saturday,13:00,Multiple,1
NT,8,2022,Thursday,10:00,Multiple,1
NSW,8,2022,Friday,17:00,Single,1
NSW,8,2022,Thursday,23:00,Multiple,1
NSW,8,2022,Saturday,18:00,Multiple,1
Vic,8,2022,Thursday,8:00,Multiple,1
Vic,8,2022,Tuesday,20:00,Multiple,1
Qld,8,2022,Friday,7:00,Single,1
Qld,8,2022,Saturday,2:00,Single,1
Qld,8,2022,Saturday,0:00,Single,1
Qld,8,2022,Sunday,13:00,Multiple,1
Qld,8,2022,Monday,7:00,Multiple,1
Qld,8,2022,Sunday,18:00,Multiple,1
WA,8,2022,Thursday,2:00,Single,2
NT,8,2022,Monday,18:00,Single,2
NSW,8,2022,Friday,15:00,Multiple,1
NSW,8,2022,Tuesday,15:00,Single,1
NSW,8,2022,Sunday,20:00,Single,1
Vic,8,2022,Tuesday,15:00,Multiple,1
Qld,8,2022,Thursday,12:00,Multiple,1
SA,8,2022,Sunday,0:00,Single,1
WA,8,2022,Monday,9:00,Multiple,1
WA,8,2022,Monday,8:00,Single,1
NSW,8,2022,Friday,7:00,Single,1
NSW,8,2022,Monday,19:00,Multiple,1
NSW,8,2022,Friday,16:00,Multiple,1
Vic,8,2022,Friday,20:00,Multiple,1
Vic,8,2022,Saturday,16:00,Single,1
Qld,8,2022,Wednesday,3:00,Single,1
Qld,8,2022,Tuesday,0:00,Single,1
Qld,8,2022,Sunday,8:00,Single,1
WA,8,2022,Tuesday,14:00,Single,1
SA,8,2022,Thursday,12:00,Single,1
SA,8,2022,Sunday,0:00,Single,1
WA,8,2022,Friday,19:00,Multiple,1
Tas,8,2022,Saturday,17:00,Multiple,3
ACT,8,2022,Monday,17:00,Multiple,1
NSW,8,2022,Tuesday,14:00,Multiple,1
Vic,8,2022,Wednesday,12:00,Multiple,1
Vic,8,2022,Thursday,16:00,Multiple,1
Qld,8,2022,Tuesday,20:00,Multiple,1
Qld,8,2022,Wednesday,11:00,Multiple,1
Qld,8,2022,Sunday,10:00,Multiple,1
WA,8,2022,Saturday,17:00,Single,1
NT,8,2022,Thursday,6:00,Single,2
